system:index,BasinID,area,feature,year,.geo
1_2_0007000000000000369f,6080549240,577471.3172155044,ForestToBarren,2002.0,
1_2_000700000000000036a0,6080549470,2087332.5387690526,ForestToBarren,2002.0,
1_2_0007000000000000371f,6080540560,12238.27294921875,ForestToBarren,2002.0,
1_2_00070000000000003720,6080540660,4478551.711791275,ForestToBarren,2002.0,
2_1_000700000000000035bb,6080546500,83813.10278320312,ForestToWater,2003.0,
2_1_0007000000000000362a,6080552520,42360.410202923944,ForestToWater,2003.0,
2_1_0007000000000000362b,6080552360,22690.27227783203,ForestToWater,2003.0,
2_1_00070000000000003659,6080548660,18365.5556640625,ForestToWater,2003.0,
2_1_0007000000000000365a,6080548950,219121.50231933594,ForestToWater,2003.0,
2_1_0007000000000000369f,6080549240,372879.50469970703,ForestToWater,2003.0,
2_1_000700000000000036a0,6080549470,1495007.9006491269,ForestToWater,2003.0,
2_1_0007000000000000371f,6080540560,1748.3936767578125,ForestToWater,2003.0,
2_1_00070000000000003720,6080540660,123973.54510498047,ForestToWater,2003.0,
2_2_000700000000000035bb,6080546500,5899397.193975709,ForestToBarren,2003.0,
2_2_0007000000000000362a,6080552520,3515645.1176676434,ForestToBarren,2003.0,
2_2_0007000000000000362b,6080552360,758291.9815195121,ForestToBarren,2003.0,
2_2_00070000000000003659,6080548660,270361.10564826516,ForestToBarren,2003.0,
2_2_0007000000000000365a,6080548950,1559382.326753504,ForestToBarren,2003.0,
2_2_0007000000000000369f,6080549240,894055.350769043,ForestToBarren,2003.0,
2_2_000700000000000036a0,6080549470,5051282.220623899,ForestToBarren,2003.0,
2_2_0007000000000000371f,6080540560,14862.498596191406,ForestToBarren,2003.0,
2_2_00070000000000003720,6080540660,3907366.2880873736,ForestToBarren,2003.0,
3_1_000700000000000035bb,6080546500,27934.31884765625,ForestToWater,2004.0,
3_1_0007000000000000362a,6080552520,96789.98022460938,ForestToWater,2004.0,
3_1_0007000000000000362b,6080552360,45382.91162109375,ForestToWater,2004.0,
3_1_00070000000000003659,6080548660,120718.26824951172,ForestToWater,2004.0,
3_1_0007000000000000365a,6080548950,580555.958984375,ForestToWater,2004.0,
3_1_0007000000000000369f,6080549240,517844.6540527344,ForestToWater,2004.0,
3_1_000700000000000036a0,6080549470,1354193.5545043945,ForestToWater,2004.0,
3_1_0007000000000000371f,6080540560,874.2529907226562,ForestToWater,2004.0,
3_1_00070000000000003720,6080540660,241847.45806884766,ForestToWater,2004.0,
3_2_000700000000000035bb,6080546500,6586474.383367321,ForestToBarren,2004.0,
3_2_0007000000000000362a,6080552520,6923387.314194622,ForestToBarren,2004.0,
3_2_0007000000000000362b,6080552360,1355451.2270321117,ForestToBarren,2004.0,
3_2_00070000000000003659,6080548660,1152503.7911376953,ForestToBarren,2004.0,
3_2_0007000000000000365a,6080548950,2017942.4391862457,ForestToBarren,2004.0,
3_2_0007000000000000369f,6080549240,778510.0866625019,ForestToBarren,2004.0,
3_2_000700000000000036a0,6080549470,4190456.894695686,ForestToBarren,2004.0,
3_2_0007000000000000371f,6080540560,4369.02880859375,ForestToBarren,2004.0,
3_2_00070000000000003720,6080540660,8161489.593444106,ForestToBarren,2004.0,
4_1_000700000000000035bb,6080546500,63732.80187988281,ForestToWater,2005.0,
4_1_0007000000000000362a,6080552520,44521.30055075252,ForestToWater,2005.0,
4_1_0007000000000000362b,6080552360,13090.277404785156,ForestToWater,2005.0,
4_1_00070000000000003659,6080548660,10497.756652832031,ForestToWater,2005.0,
4_1_0007000000000000365a,6080548950,103009.42114257812,ForestToWater,2005.0,
4_1_0007000000000000369f,6080549240,84711.98193359375,ForestToWater,2005.0,
