system:index,BasinID,area,feature,year,.geo
12_1_1_000600000000000029af,6080099320,131.0,cl,1997.0,
12_1_2_00000000000000002704,1080977020,0.0,rivArea,1997.0,
12_1_2_00020000000000002c8c,5080162350,7091971.039441157,rivArea,1997.0,
12_1_2_000600000000000023f1,6080108730,1691554.2854003906,rivArea,1997.0,
12_1_2_000600000000000029af,6080099320,2281264.12469267,rivArea,1997.0,
12_2_00000000000000002704,1080977020,0.0,waterArea,1997.0,
12_2_00020000000000002c8c,5080162350,8451366.698254634,waterArea,1997.0,
12_2_000600000000000023f1,6080108730,1993226.1248779297,waterArea,1997.0,
12_2_000600000000000029af,6080099320,5268145.111616068,waterArea,1997.0,
13_1_1_00000000000000002704,1080977020,0.0,cl,1998.0,
13_1_1_00020000000000002c8c,5080162350,288.0,cl,1998.0,
13_1_1_000600000000000023f1,6080108730,386.0,cl,1998.0,
13_1_1_000600000000000029af,6080099320,173.0,cl,1998.0,
13_1_2_00000000000000002704,1080977020,0.0,rivArea,1998.0,
13_1_2_00020000000000002c8c,5080162350,4364712.975792978,rivArea,1998.0,
13_1_2_000600000000000023f1,6080108730,2989184.889824841,rivArea,1998.0,
13_1_2_000600000000000029af,6080099320,2361231.436399213,rivArea,1998.0,
13_2_00000000000000002704,1080977020,0.0,waterArea,1998.0,
13_2_00020000000000002c8c,5080162350,5909379.663106043,waterArea,1998.0,
13_2_000600000000000023f1,6080108730,3660211.61980531,waterArea,1998.0,
13_2_000600000000000029af,6080099320,5215180.323978918,waterArea,1998.0,
14_1_1_00000000000000002704,1080977020,0.0,cl,1999.0,
14_1_1_00020000000000002c8c,5080162350,673.0,cl,1999.0,
14_1_1_000600000000000023f1,6080108730,319.0,cl,1999.0,
14_1_1_000600000000000029af,6080099320,86.0,cl,1999.0,
14_1_2_00000000000000002704,1080977020,0.0,rivArea,1999.0,
14_1_2_00020000000000002c8c,5080162350,6934997.677256146,rivArea,1999.0,
14_1_2_000600000000000023f1,6080108730,2806846.549981091,rivArea,1999.0,
14_1_2_000600000000000029af,6080099320,2344605.1293933345,rivArea,1999.0,
14_2_00000000000000002704,1080977020,179439.0180053711,waterArea,1999.0,
14_2_00020000000000002c8c,5080162350,8866652.64410951,waterArea,1999.0,
14_2_000600000000000023f1,6080108730,3782294.7406549193,waterArea,1999.0,
14_2_000600000000000029af,6080099320,5164365.051619705,waterArea,1999.0,
15_1_1_00000000000000002704,1080977020,0.0,cl,2000.0,
15_1_1_00020000000000002c8c,5080162350,1568.0,cl,2000.0,
15_1_1_000600000000000023f1,6080108730,854.0,cl,2000.0,
15_1_1_000600000000000029af,6080099320,171.0,cl,2000.0,
15_1_2_00000000000000002704,1080977020,0.0,rivArea,2000.0,
15_1_2_00020000000000002c8c,5080162350,1.0366593881008253E7,rivArea,2000.0,
15_1_2_000600000000000023f1,6080108730,5722325.463250134,rivArea,2000.0,
15_1_2_000600000000000029af,6080099320,2301943.1664416743,rivArea,2000.0,
15_2_00000000000000002704,1080977020,238967.10174560547,waterArea,2000.0,
15_2_00020000000000002c8c,5080162350,1.209394835676916E7,waterArea,2000.0,
15_2_000600000000000023f1,6080108730,7131247.988213513,waterArea,2000.0,
15_2_000600000000000029af,6080099320,4914460.988013653,waterArea,2000.0,
16_1_1_00000000000000002704,1080977020,0.0,cl,2001.0,
16_1_1_00020000000000002c8c,5080162350,1735.0,cl,2001.0,
16_1_1_000600000000000023f1,6080108730,1574.0,cl,2001.0,
16_1_1_000600000000000029af,6080099320,171.0,cl,2001.0,
16_1_2_00000000000000002704,1080977020,0.0,rivArea,2001.0,
16_1_2_00020000000000002c8c,5080162350,1.128174752359667E7,rivArea,2001.0,
16_1_2_000600000000000023f1,6080108730,7242325.469836187,rivArea,2001.0,
16_1_2_000600000000000029af,6080099320,2434090.9763772404,rivArea,2001.0,
16_2_00000000000000002704,1080977020,229196.70166015625,waterArea,2001.0,
16_2_00020000000000002c8c,5080162350,1.3248434618522853E7,waterArea,2001.0,
16_2_000600000000000023f1,6080108730,8563128.966967534,waterArea,2001.0,
16_2_000600000000000029af,6080099320,4577689.477956735,waterArea,2001.0,
17_1_1_00000000000000002704,1080977020,0.0,cl,2002.0,
17_1_1_00020000000000002c8c,5080162350,1929.0,cl,2002.0,
17_1_1_000600000000000023f1,6080108730,1106.0,cl,2002.0,
17_1_1_000600000000000029af,6080099320,302.0,cl,2002.0,
17_1_2_00000000000000002704,1080977020,0.0,rivArea,2002.0,
17_1_2_00020000000000002c8c,5080162350,1.1917284223514572E7,rivArea,2002.0,
17_1_2_000600000000000023f1,6080108730,6446321.179140098,rivArea,2002.0,
17_1_2_000600000000000029af,6080099320,2492736.071164838,rivArea,2002.0,
17_2_00000000000000002704,1080977020,309141.1646118164,waterArea,2002.0,
17_2_00020000000000002c8c,5080162350,1.4042708590261662E7,waterArea,2002.0,
17_2_000600000000000023f1,6080108730,7445490.217882344,waterArea,2002.0,
17_2_000600000000000029af,6080099320,4674580.371436026,waterArea,2002.0,
18_1_1_00000000000000002704,1080977020,0.0,cl,2003.0,
18_1_1_00020000000000002c8c,5080162350,2017.0,cl,2003.0,
18_1_1_000600000000000023f1,6080108730,154.0,cl,2003.0,
18_1_1_000600000000000029af,6080099320,207.0,cl,2003.0,
18_1_2_00000000000000002704,1080977020,0.0,rivArea,2003.0,
18_1_2_00020000000000002c8c,5080162350,1.2105506383297909E7,rivArea,2003.0,
18_1_2_000600000000000023f1,6080108730,2823437.1497678272,rivArea,2003.0,
18_1_2_000600000000000029af,6080099320,2477651.867612592,rivArea,2003.0,
18_2_00000000000000002704,1080977020,376665.4685058594,waterArea,2003.0,
