system:index,BasinID,area,feature,year,.geo
2_2_0007000000000000365a,6080548950,2.9753463547358736E7,waterArea,1987.0,
2_2_0007000000000000369f,6080549240,4.8571739398663215E7,waterArea,1987.0,
2_2_000700000000000036a0,6080549470,3.564038402651008E7,waterArea,1987.0,
2_2_0007000000000000371f,6080540560,7308584.567595359,waterArea,1987.0,
2_2_00070000000000003720,6080540660,4.8998247342335895E7,waterArea,1987.0,
3_1_1_000000000000000026fe,1080982910,0.0,cl,1988.0,
3_1_1_00000000000000002704,1080977020,0.0,cl,1988.0,
3_1_1_0000000000000000270b,1081012470,0.0,cl,1988.0,
3_1_1_00020000000000002c8c,5080162350,2129.0,cl,1988.0,
3_1_1_000200000000000037d2,5080166880,5368.0,cl,1988.0,
3_1_1_000600000000000023f1,6080108730,6.0,cl,1988.0,
3_1_1_000700000000000035bb,6080546500,2975.2509803921566,cl,1988.0,
3_1_1_0007000000000000362a,6080552520,5833.596078431373,cl,1988.0,
3_1_1_0007000000000000362b,6080552360,1927.627450980392,cl,1988.0,
3_1_1_00070000000000003659,6080548660,1761.8745098039217,cl,1988.0,
3_1_1_0007000000000000365a,6080548950,2291.7019607843135,cl,1988.0,
3_1_1_0007000000000000369f,6080549240,4172.666666666667,cl,1988.0,
3_1_1_000700000000000036a0,6080549470,5860.0,cl,1988.0,
3_1_1_0007000000000000371f,6080540560,1070.6235294117646,cl,1988.0,
3_1_1_00070000000000003720,6080540660,4648.623529411765,cl,1988.0,
3_1_2_000000000000000026fe,1080982910,0.0,rivArea,1988.0,
3_1_2_00000000000000002704,1080977020,0.0,rivArea,1988.0,
3_1_2_0000000000000000270b,1081012470,0.0,rivArea,1988.0,
3_1_2_00020000000000002c8c,5080162350,9575388.831506347,rivArea,1988.0,
3_1_2_000200000000000037d2,5080166880,1.722708574819647E7,rivArea,1988.0,
3_1_2_000600000000000023f1,6080108730,1642873.0317993164,rivArea,1988.0,
3_1_2_000700000000000035bb,6080546500,5.4170757696242146E7,rivArea,1988.0,
3_1_2_0007000000000000362a,6080552520,7.022593678467399E7,rivArea,1988.0,
3_1_2_0007000000000000362b,6080552360,2.254617576053419E7,rivArea,1988.0,
3_1_2_00070000000000003659,6080548660,9816086.35430932,rivArea,1988.0,
3_1_2_0007000000000000365a,6080548950,2.5164100579049867E7,rivArea,1988.0,
3_1_2_0007000000000000369f,6080549240,3.96973896673146E7,rivArea,1988.0,
3_1_2_000700000000000036a0,6080549470,3.199420444655546E7,rivArea,1988.0,
3_1_2_0007000000000000371f,6080540560,6656088.767805032,rivArea,1988.0,
3_1_2_00070000000000003720,6080540660,5.086062400580312E7,rivArea,1988.0,
3_2_000000000000000026fe,1080982910,0.0,waterArea,1988.0,
3_2_00000000000000002704,1080977020,0.0,waterArea,1988.0,
3_2_0000000000000000270b,1081012470,0.0,waterArea,1988.0,
3_2_00020000000000002c8c,5080162350,9656723.604638672,waterArea,1988.0,
3_2_000200000000000037d2,5080166880,1.9221449634903014E7,waterArea,1988.0,
3_2_000600000000000023f1,6080108730,1862723.3214111328,waterArea,1988.0,
3_2_000700000000000035bb,6080546500,6.5789688828810506E7,waterArea,1988.0,
3_2_0007000000000000362a,6080552520,7.512485255585319E7,waterArea,1988.0,
3_2_0007000000000000362b,6080552360,2.998138024649609E7,waterArea,1988.0,
3_2_00070000000000003659,6080548660,1.1121189141355507E7,waterArea,1988.0,
3_2_0007000000000000365a,6080548950,3.0991121835556693E7,waterArea,1988.0,
3_2_0007000000000000369f,6080549240,4.831697781984145E7,waterArea,1988.0,
3_2_000700000000000036a0,6080549470,3.397132443477568E7,waterArea,1988.0,
3_2_0007000000000000371f,6080540560,7068731.8520543715,waterArea,1988.0,
3_2_00070000000000003720,6080540660,5.427941798174019E7,waterArea,1988.0,
4_1_1_000000000000000026fe,1080982910,0.0,cl,1989.0,
4_1_1_00000000000000002704,1080977020,0.0,cl,1989.0,
4_1_1_0000000000000000270b,1081012470,0.0,cl,1989.0,
4_1_1_00020000000000002c8c,5080162350,2551.0,cl,1989.0,
4_1_1_000200000000000037d2,5080166880,5606.0,cl,1989.0,
4_1_1_000600000000000023f1,6080108730,0.0,cl,1989.0,
4_1_1_000700000000000035bb,6080546500,3083.2509803921566,cl,1989.0,
4_1_1_0007000000000000362a,6080552520,5305.101960784314,cl,1989.0,
4_1_1_0007000000000000362b,6080552360,1903.38431372549,cl,1989.0,
4_1_1_00070000000000003659,6080548660,889.6235294117647,cl,1989.0,
4_1_1_0007000000000000365a,6080548950,2292.654901960784,cl,1989.0,
4_1_1_0007000000000000369f,6080549240,3631.666666666667,cl,1989.0,
4_1_1_000700000000000036a0,6080549470,3240.0470588235294,cl,1989.0,
4_1_1_0007000000000000371f,6080540560,1155.6235294117646,cl,1989.0,
4_1_1_00070000000000003720,6080540660,5876.623529411765,cl,1989.0,
4_1_2_000000000000000026fe,1080982910,0.0,rivArea,1989.0,
4_1_2_00000000000000002704,1080977020,0.0,rivArea,1989.0,
4_1_2_0000000000000000270b,1081012470,0.0,rivArea,1989.0,
4_1_2_00020000000000002c8c,5080162350,1.0941322639333209E7,rivArea,1989.0,
4_1_2_000200000000000037d2,5080166880,1.9522595733120788E7,rivArea,1989.0,
4_1_2_000600000000000023f1,6080108730,0.0,rivArea,1989.0,
